word,clue
ushers,Flashlight carriers
lois,"""Family Guy"" wife"
inesse,Not hypothetical
prey,Hunter's target
corsets,Waist constrictors
cameras,"Kodaks, e.g."
nudged,Physically prompted
slums,Housing problem
stowed,Put away
pasts,Histories
reps,Workout count
mikes,Karaoke equipment
yes,Magic 8 Ball response
peter,Gunn with a gun
freres,Bordeaux brothers
maps,See 5-Across
woolen,Like many a winter sweater
trois,"___-Rivieres, Quebec"
itty,Eensy-weensy
rem,Period of sleep with dreaming
asks,Calls (for)
manor,Place for a butler
envy,Go green?
cnotes,They feature Franklin
une,French article
blears,Makes teary
even,Level
stopby,Visit
adeal,"""You've got ___!"""
laser,Surgery tool
lied,Told stories
opts,Chooses
iranis,Farsi speakers
pal,Compadre
dee,Actor Billy ___ Williams
exeter,Main city of Devon
pity,Unfortunate circumstance
yes,"""Right you are!"""
quivive,Alert
leaky,"In need of a washer, perhaps"
rices,Reduces to bits
speeded,"Went 80, say"
image,Likeness
aprs,Credit figs.
dobbs,"""Independents Day"" author Lou"
sarges,Barracks bosses
sets,Complete collections
marner,See 60-Across
doily,Lace place mat
release,"Venting, e.g."
moons,Word after many or honey
nooses,Some snares
nods,Inattention indications
biased,Not fair
trey,Deuce topper
lived,Long-___
mocs,Soft slip-ons
sonics,"Seattle squad, for short"
antic,Like 21-Across's behavior
end,Purpose
noway,"""Forget it!"""
mrs,"Wifey, with ""the"""
ills,Pandora's boxful
creed,Something to believe in
cranked,"Got started, with ""up"""
tabs,Soda can features
steers,Has the wheel
tmen,Counterfeiters' nemeses
tales,"Follower of ""Twice-Told"" or ""old wives'"""
abbey,Monk's home
pas,"Audio systems, for short"
carlos,Terrorist of renown
itsy,___-bitsy
hushed,"Scolded, as in a library"
peeps,Marshmallow candies in Easter baskets
artless,Unaffected
dumas,"Alexandre, pere ou fils"
soloed,Went it alone
lends,A library does it
fred,Dance-pop trio Right Said ___
decaf,Tame brew
uncle,Cry of surrender
sister,Frequent choice for maid of honor
nudity,Reason for a TV-MA rating
ager,New ___ (Enya type)
deans,___ list
sods,Gains yardage?
oaters,"""Laramie"" and ""Laredo"""
novas,Super stars
kens,Barbies' mates
raps,Criticizes
broncos,Winners of Super Bowl 50
balks,Illegal motions by pitchers
amerces,Punishes with arbitrary penalties
arts,See 51-Across
seeing,Going out with
cpas,Ernst & Young staff
deskset,Executive suite?
ahmed,"""Arabian Nights"" prince"
sacs,Pollen repositories
soled,Did a cobbler's job
enol,Compound with two carbon atoms
rea,Actor Stephen
gelcaps,Alternatives to tablets
rotator,Shoulder muscle
recap,Summation
edger,Lawn tool
cts,Price abbr.
red,Florid
assured,Convinced
ker,Lead-in to plop
maimed,Not just hurt
pedals,45-Across features
footed,"Paid, as a bill"
nodeal,See 12-Down
over,In the strike zone
feasts,Saturnalia events
sis,___ boom bah
dense,Packed
sneer,Unkind response
tiled,Like most bathrooms
seis,Numero of Mexican states that border the U.S.
gis,Grunts
peary,Arctic explorer Robert
ulees,"""___ Gold"" (1997 film)"
menial,Like McJobs
resay,Speak again
cokes,Soda fountain choices
pass,"""No thanks"""
inst,"The ""I"" in M.I.T.: Abbr."
axes,Choppers
need,Want
ades,Fruity drinks
deicer,"Salt, e.g."
emeriti,Old profs
reese,Pokey or Pee Wee of Major League Baseball
iter,Roman way
ups,Downs' opposite
relit,"Like a candle that's gone out, maybe"
agony,Hellish suffering
plans,Plots
luis,"San ___ Obispo, Calif."
tomes,Big leaf containers
thy,Friend's possessive
bens,Uncle ___
oner,Not just a rarity
holy,Like an 8-Down
enact,Opposite of kill
oaken,Like some floors
hairdos,Arrangements of locks
shreds,Makes confetti
rhymes,See 59-Down
aahed,Expressed amazement
sass,Impudence
gamal,Egypt's Nasser
leroy,Artist Neiman
zed,London Zoo feature?
alpes,Suisse peaks
rel,Brother or aunt: Abbr.
discs,"The winks in tiddlywinks, e.g."
yes,"""With pleasure!"""
ants,Pantry raiders
sparer,Less adorned
end,Potential pass target
inpawn,Hocked
neer,___-do-well
corer,Apple gizmo
onor,___ close to schedule
ural,Orsk is on it
dreyer,Partner of 59-Across in the frozen food business
asses,Ninnies
rey,"Daisy Ridley's ""Star Wars"" role"
renews,"Extends, as a subscription"
goes,Takes a turn
eking,Squeezing (out)
obey,Follow
deco,'33 Chicago World's Fair style
nestles,Gets cozy
togas,Ancient Roman garments
netmen,Court figures
issy,___-les-Moulineaux (Paris suburb)
red,"""Curse you, ___ Baron!"""
tads,Young 'uns
cdrs,U.S.N. officers
ess,Twisty turn
barber,"Figaro, e.g."
furs,Expensive wraps
owls,Temple University team
avis,Car rental giant
nogs,Yuletide quaffs
amscray,"""Make yourself scarce!"""
steeled,Girded
shots,Pics
ices,"Seals, in a way"
esters,Fruity and fragrant compounds
ales,Brewed beverages
emdash,Ellipsis alternative
ten,Bedtime for some
isomers,"Chemical cousins, in a way"
rely,Lean
focal,Centrally located
indy,___ 500
danes,More than five million Europeans
spas,Health resorts
